"Utc","ProcessId","Protocol","LocalAddress","LocalPort","RemoteAddress","RemotePort","State"
"2026-09-09T20:32:11.4559142Z","18052","UDP","0.0.0.0","443","","","Bound"
"2026-09-09T20:32:12.6457932Z","18052","TCP","0.0.0.0","21166","0.0.0.0","0","Listen"
"2026-09-09T20:32:12.6457932Z","18052","UDP","127.0.0.1","53924","","","Bound"
"2026-09-09T20:32:12.6457932Z","18052","UDP","0.0.0.0","21166","","","Bound"
"2026-09-09T20:32:12.6457932Z","18052","UDP","0.0.0.0","443","","","Bound"
"2026-09-09T20:32:13.7518306Z","18052","TCP","0.0.0.0","21166","0.0.0.0","0","Listen"
"2026-09-09T20:32:13.7518306Z","18052","UDP","127.0.0.1","53924","","","Bound"
"2026-09-09T20:32:13.7518306Z","18052","UDP","0.0.0.0","21166","","","Bound"
"2026-09-09T20:32:13.7518306Z","18052","UDP","0.0.0.0","443","","","Bound"
"2026-09-09T20:32:14.8585616Z","18052","TCP","0.0.0.0","21166","0.0.0.0","0","Listen"
"2026-09-09T20:32:14.8585616Z","18052","UDP","127.0.0.1","53924","","","Bound"
"2026-09-09T20:32:14.8585616Z","18052","UDP","0.0.0.0","21166","","","Bound"
"2026-09-09T20:32:14.8585616Z","18052","UDP","0.0.0.0","443","","","Bound"
"2026-09-09T20:32:15.9366936Z","18052","TCP","0.0.0.0","21166","0.0.0.0","0","Listen"
"2026-09-09T20:32:15.9366936Z","18052","UDP","127.0.0.1","53924","","","Bound"
"2026-09-09T20:32:15.9366936Z","18052","UDP","0.0.0.0","21166","","","Bound"
"2026-09-09T20:32:15.9366936Z","18052","UDP","0.0.0.0","443","","","Bound"
"2026-09-09T20:32:17.0485776Z","18052","TCP","0.0.0.0","21166","0.0.0.0","0","Listen"
"2026-09-09T20:32:17.0485776Z","18052","UDP","127.0.0.1","53924","","","Bound"
"2026-09-09T20:32:17.0485776Z","18052","UDP","0.0.0.0","21166","","","Bound"
"2026-09-09T20:32:17.0485776Z","18052","UDP","0.0.0.0","443","","","Bound"
"2026-09-09T20:32:18.1588287Z","18052","TCP","0.0.0.0","21166","0.0.0.0","0","Listen"
"2026-09-09T20:32:18.1588287Z","18052","UDP","127.0.0.1","53924","","","Bound"
"2026-09-09T20:32:18.1588287Z","18052","UDP","0.0.0.0","21166","","","Bound"
"2026-09-09T20:32:18.1588287Z","18052","UDP","0.0.0.0","443","","","Bound"
"2026-09-09T20:32:19.2571184Z","18052","TCP","0.0.0.0","21166","0.0.0.0","0","Listen"
